DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             0.197               1.019            -0.823         4.536
RESSURF            0.205               1.015            -0.810         4.563
SOLIN            340.267             340.267             0.000         0.000
AAM            1.393e+26           1.440e+26        -4.641e+24      -999.000
CHI_200           -0.001               0.004            -0.005         0.442
CLDHGH            29.106              28.931             0.175         1.570
CLDLOW            32.451              33.200            -0.749         1.859
CLDMED            16.175              15.801             0.374         1.456
CLDTOT            50.710              51.131            -0.421         1.639
EKE_850           30.945              30.426             0.519         1.299
EP            -2.535e-06           8.024e-05        -8.277e-05         0.379
FLNS              59.960              58.262             1.698         2.490
FLNSC             82.922              80.684             2.238         3.141
FLNT             231.257             234.599            -3.341         3.922
FLNTC            260.155             263.598            -3.444         3.585
FSDS             182.451             182.795            -0.344         3.550
FSDSC            243.655             245.560            -1.906         2.164
FSNS             157.516             160.032            -2.515         5.557
FSNSC            212.259             216.662            -4.403         7.971
FSNSC_ICE         52.248              54.744            -2.496         7.684
FSNSC_LAND       177.244             179.192            -1.949         2.510
FSNT             231.454             235.618            -4.164         6.224
FSNTC            282.149             288.482            -6.332         8.894
ICEAREA           25.360              21.998             3.361         0.088
LHFLX             80.187              83.656            -3.469         6.248
LWCF              28.897              29.000            -0.102         1.580
PRECT              2.747               2.869            -0.122         0.389
PRECT_LAND         2.319               2.374            -0.055         0.233
PRECT_OCEAN        3.049               3.191            -0.142         0.455
PREH2O            24.887              27.552            -2.665         3.135
PREH2O_OCEAN      29.066              31.996            -2.930         3.552
PSI_200           -0.034              -0.034             0.000         0.214
PS               985.326             985.588            -0.262         0.604
PSL             1011.064            1011.256            -0.192         0.560
QFLX               2.747               2.869            -0.122         0.200
SHFLX             17.164              17.099             0.065         2.167
SNOWHLND          11.522              11.163             0.359         3.512
SST               20.177              21.437            -1.261         1.329
STRESS_MAG         0.068               0.066             0.001         0.007
SWCF             -50.695             -52.864             2.169         4.177
T_850            281.295             282.736            -1.440         1.466
TGCLDLWP         132.524             136.489            -3.965        10.655
TGCLDIWP          17.572              16.944             0.627         1.266
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.192             288.625            -1.433         1.498
TS               287.881             289.314            -1.434         1.520
TS_LAND          281.964             283.595            -1.631         1.664
U_200             15.322              15.728            -0.406         1.161
VT_850             0.170               0.113             0.057         0.488
Z3_500            56.607              56.952            -0.345         0.350
