DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             7.181               8.568            -1.387         7.020
RESSURF            6.478               7.722            -1.244         8.610
SOLIN            350.496             350.496             0.000         0.000
AAM            1.469e+26           1.508e+26        -3.919e+24      -999.000
CHI_200           -0.046              -0.036            -0.010         0.566
CLDHGH            28.472              28.282             0.190         2.286
CLDLOW            31.989              32.585            -0.596         2.123
CLDMED            16.331              16.069             0.262         1.884
CLDTOT            50.018              50.325            -0.307         2.271
EKE_850           28.125              27.712             0.413         1.594
EP             6.300e-03           6.804e-03        -5.032e-04         0.531
FLNS              59.365              57.734             1.631         2.796
FLNSC             82.350              80.167             2.183         3.455
FLNT             228.340             231.641            -3.301         4.253
FLNTC            256.762             260.238            -3.476         3.766
FSDS             189.759             189.932            -0.173         5.195
FSDSC            253.849             255.773            -1.924         2.598
FSNS             161.571             164.686            -3.116         7.772
FSNSC            218.845             224.225            -5.380        11.377
FSNSC_ICE         30.364              27.079             3.284         6.974
FSNSC_LAND       143.030             144.960            -1.930         2.753
FSNT             235.521             240.209            -4.688         8.289
FSNTC            288.380             295.614            -7.234        12.110
ICEAREA           23.404              20.571             2.833         0.089
LHFLX             80.797              84.367            -3.569         7.647
LWCF              28.422              28.598            -0.176         2.026
PRECT              2.759               2.883            -0.125         0.522
PRECT_LAND         2.268               2.327            -0.059         0.312
PRECT_OCEAN        3.099               3.243            -0.144         0.610
PREH2O            23.546              26.154            -2.608         3.304
PREH2O_OCEAN      28.544              31.514            -2.969         3.810
PSI_200           -0.002              -0.001            -0.000         0.220
PS               985.195             985.451            -0.256         0.831
PSL             1011.254            1011.435            -0.181         0.781
QFLX               2.765               2.890            -0.125         0.236
SHFLX             14.930              14.863             0.067         3.355
SNOWHLND          12.286              11.928             0.358         3.482
SST               20.162              21.458            -1.297         1.384
STRESS_MAG         0.072               0.070             0.003         0.009
SWCF             -52.859             -55.405             2.546         6.099
T_850            279.670             281.090            -1.421         1.486
TGCLDLWP         132.801             137.085            -4.284        13.549
TGCLDIWP          17.912              17.362             0.550         1.639
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.264             286.708            -1.445         1.591
TS               285.906             287.354            -1.448         1.625
TS_LAND          275.276             276.876            -1.600         1.724
U_200             16.167              16.448            -0.281         1.546
VT_850            -0.639              -0.690             0.052         0.765
Z3_500            56.355              56.700            -0.345         0.354
