DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            -9.519              -9.487            -0.033         3.933
RESSURF          -10.490             -10.462            -0.028         7.195
SOLIN            330.385             330.385             0.000         0.000
AAM            1.173e+26           1.231e+26        -5.832e+24      -999.000
CHI_200            0.032               0.035            -0.003         0.679
CLDHGH            30.512              30.338             0.174         2.108
CLDLOW            34.902              35.811            -0.908         2.512
CLDMED            16.225              15.769             0.456         2.012
CLDTOT            53.629              54.154            -0.525         2.448
EKE_850           28.256              27.920             0.337         1.763
EP             1.134e-02           1.187e-02        -5.259e-04         0.580
FLNS              58.799              56.967             1.832         2.916
FLNSC             82.399              79.980             2.418         3.370
FLNT             234.419             237.835            -3.416         4.500
FLNTC            264.246             267.675            -3.429         3.677
FSDS             170.492             170.685            -0.194         5.055
FSDSC            232.828             234.617            -1.789         2.238
FSNS             149.952             151.592            -1.640         4.998
FSNSC            205.862             209.213            -3.351         6.275
FSNSC_ICE         39.920              46.715            -6.795        15.623
FSNSC_LAND       212.824             214.569            -1.746         3.289
FSNT             224.900             228.348            -3.449         5.726
FSNTC            276.921             282.361            -5.439         7.627
ICEAREA           26.467              22.795             3.673         0.126
LHFLX             82.165              85.642            -3.477         7.590
LWCF              29.827              29.840            -0.013         2.216
PRECT              2.807               2.928            -0.121         0.566
PRECT_LAND         2.377               2.412            -0.035         0.363
PRECT_OCEAN        3.102               3.249            -0.147         0.656
PREH2O            26.814              29.611            -2.798         3.246
PREH2O_OCEAN      29.717              32.597            -2.880         3.562
PSI_200           -0.073              -0.074             0.000         0.298
PS               985.515             985.790            -0.275         0.735
PSL             1010.922            1011.132            -0.210         0.720
QFLX               2.819               2.940            -0.121         0.231
SHFLX             19.478              19.444             0.034         3.326
SNOWHLND          10.504              10.168             0.337         3.629
SST               19.868              21.097            -1.229         1.289
STRESS_MAG         0.078               0.077             0.001         0.009
SWCF             -52.022             -54.012             1.990         5.063
T_850            283.192             284.673            -1.481         1.512
TGCLDLWP         138.781             142.581            -3.799        14.322
TGCLDIWP          16.700              16.086             0.614         1.649
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.191             290.608            -1.416         1.500
TS               289.887             291.297            -1.410         1.527
TS_LAND          288.661             290.324            -1.663         1.713
U_200             13.091              13.681            -0.590         1.448
VT_850             1.009               0.928             0.081         0.713
Z3_500            56.954              57.302            -0.349         0.359
