DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             1.546               2.135            -0.589         4.402
RESSURF           -0.969              -0.426            -0.543         5.943
SOLIN            338.254             338.254             0.000         0.000
AAM            1.559e+26           1.572e+26        -1.271e+24      -999.000
CHI_200            0.009               0.004             0.006         0.717
CLDHGH            29.003              28.724             0.280         2.364
CLDLOW            30.797              31.516            -0.718         2.192
CLDMED            16.157              15.723             0.434         2.044
CLDTOT            49.296              49.639            -0.343         2.339
EKE_850           28.769              28.139             0.630         1.677
EP             1.749e-02           1.925e-02        -1.765e-03         0.587
FLNS              61.363              59.714             1.648         2.922
FLNSC             83.695              81.490             2.206         3.426
FLNT             230.630             234.099            -3.469         4.642
FLNTC            259.750             263.246            -3.495         3.738
FSDS             184.106             184.720            -0.614         4.718
FSDSC            241.553             243.512            -1.959         2.325
FSNS             158.445             160.826            -2.382         5.775
FSNSC            209.819             213.760            -3.941         7.195
FSNSC_ICE         38.417              39.782            -1.365         6.422
FSNSC_LAND       187.742             190.291            -2.549         4.067
FSNT             232.176             236.235            -4.059         6.398
FSNTC            279.817             285.716            -5.900         8.236
ICEAREA           24.992              21.697             3.294         0.111
LHFLX             80.054              83.568            -3.514         7.622
LWCF              29.121              29.147            -0.026         2.385
PRECT              2.721               2.843            -0.122         0.577
PRECT_LAND         2.243               2.289            -0.046         0.325
PRECT_OCEAN        3.038               3.187            -0.148         0.679
PREH2O            24.518              27.185            -2.666         3.307
PREH2O_OCEAN      29.002              31.967            -2.965         3.766
PSI_200           -0.021              -0.021             0.001         0.180
PS               985.290             985.552            -0.262         0.689
PSL             1011.059            1011.252            -0.193         0.655
QFLX               2.739               2.862            -0.123         0.233
SHFLX             17.997              17.970             0.027         2.688
SNOWHLND          12.686              12.271             0.415         3.514
SST               20.196              21.475            -1.279         1.368
STRESS_MAG         0.067               0.065             0.001         0.007
SWCF             -47.641             -49.482             1.841         4.811
T_850            281.204             282.676            -1.473         1.519
TGCLDLWP         126.794             130.163            -3.370        14.072
TGCLDIWP          18.081              17.346             0.735         1.706
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.139             288.587            -1.448         1.542
TS               287.865             289.319            -1.454         1.576
TS_LAND          281.609             283.244            -1.635         1.704
U_200             16.822              16.977            -0.155         1.438
VT_850             0.206               0.166             0.039         0.581
Z3_500            56.546              56.897            -0.351         0.357
