DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             1.739               3.041            -1.302         6.154
RESSURF            5.985               7.436            -1.451         6.370
SOLIN            342.177             342.177             0.000         0.000
AAM            1.377e+26           1.453e+26        -7.671e+24      -999.000
CHI_200            0.003               0.017            -0.013         0.426
CLDHGH            28.417              28.364             0.052         2.010
CLDLOW            32.101              32.869            -0.768         2.137
CLDMED            15.988              15.645             0.343         1.562
CLDTOT            49.873              50.381            -0.508         2.130
EKE_850           27.876              27.450             0.426         1.646
EP            -3.531e-02          -3.778e-02         2.471e-03         0.462
FLNS              60.311              58.631             1.680         2.525
FLNSC             83.242              81.104             2.138         3.166
FLNT             231.585             234.751            -3.166         3.938
FLNTC            259.791             263.154            -3.364         3.548
FSDS             185.644             186.036            -0.392         4.220
FSDSC            246.643             248.602            -1.959         2.390
FSNS             160.218             163.155            -2.937         7.235
FSNSC            214.676             219.645            -4.969        10.511
FSNSC_ICE         45.547              45.548            -0.001         7.241
FSNSC_LAND       164.492             166.065            -1.574         2.056
FSNT             233.324             237.791            -4.468         7.618
FSNTC            283.623             290.401            -6.778        11.046
ICEAREA           26.546              22.930             3.616         0.129
LHFLX             77.731              81.030            -3.298         6.702
LWCF              28.206              28.404            -0.198         2.007
PRECT              2.701               2.820            -0.118         0.444
PRECT_LAND         2.387               2.469            -0.082         0.314
PRECT_OCEAN        2.941               3.062            -0.122         0.506
PREH2O            24.638              27.213            -2.576         3.023
PREH2O_OCEAN      28.615              31.340            -2.725         3.358
PSI_200           -0.044              -0.043            -0.000         0.290
PS               985.302             985.554            -0.253         0.654
PSL             1011.026            1011.208            -0.182         0.639
QFLX               2.666               2.782            -0.116         0.205
SHFLX             16.191              16.058             0.133         2.533
SNOWHLND          10.616              10.294             0.322         3.627
SST               19.772              21.000            -1.229         1.288
STRESS_MAG         0.071               0.069             0.001         0.008
SWCF             -50.299             -52.610             2.311         5.021
T_850            281.095             282.480            -1.385         1.411
TGCLDLWP         131.707             136.109            -4.402        11.862
TGCLDIWP          17.600              16.992             0.608         1.552
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.128             288.546            -1.418         1.517
TS               287.819             289.239            -1.419         1.548
TS_LAND          282.165             283.781            -1.616         1.661
U_200             15.227              15.830            -0.604         1.316
VT_850             0.079               0.024             0.055         0.660
Z3_500            56.566              56.899            -0.334         0.342
