DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -25.118             -25.434             0.316         1.697
RESSURF          -10.118              -9.310            -0.808         4.785
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.265               0.002            -0.266         0.408
CLDHGH            25.204              24.908             0.297         1.281
CLDLOW            29.726              30.764            -1.038         1.949
CLDMED            15.517              15.068             0.449         0.823
CLDTOT            45.965              46.439            -0.475         1.547
EKE_850           33.834              33.517             0.316         0.885
EP            -9.137e-03          -2.581e-02         1.668e-02         0.167
FLNS              65.227              64.458             0.769         1.822
FLNSC             88.585              87.706             0.879         2.044
FLNT             228.279             231.648            -3.369         3.714
FLNTC            251.877             255.346            -3.468         3.675
FSDS             165.235             165.711            -0.476         2.542
FSDSC            216.659             218.745            -2.086         2.190
FSNS             135.900             137.319            -1.419         2.390
FSNSC            180.269             183.178            -2.909         3.903
FSNSC_ICE         43.236              49.162            -5.926         8.440
FSNSC_LAND       162.663             165.194            -2.531         3.082
FSNT             203.161             206.214            -3.052         3.553
FSNTC            243.788             248.557            -4.769         5.431
ICEAREA           12.195              11.110             1.085         0.065
LHFLX             59.029              60.437            -1.408         3.828
LWCF              23.598              23.698            -0.100         1.023
PRECT              2.019               2.089            -0.070         0.177
PRECT_LAND         1.630               1.694            -0.064         0.152
PRECT_OCEAN        2.615               2.685            -0.070         0.209
PREH2O            17.682              19.275            -1.594         1.785
PREH2O_OCEAN      23.634              25.517            -1.883         2.187
PSI_200           -6.555              -6.804             0.249         0.281
PS               976.501             976.975            -0.474         0.689
PSL             1015.495            1015.863            -0.369         0.584
QFLX               2.010               2.064            -0.054         0.125
SHFLX             21.761              21.733             0.028         2.268
SNOWHLND           4.781               4.126             0.655         4.749
SST               18.020              18.928            -0.908         0.989
STRESS_MAG         0.050               0.049             0.001         0.004
SWCF             -40.627             -42.343             1.716         2.809
T_850            278.120             279.445            -1.324         1.353
TGCLDLWP         123.257             127.546            -4.289         8.113
TGCLDIWP          19.683              19.099             0.584         0.883
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.455             283.861            -1.406         1.528
TS               283.000             284.404            -1.404         1.554
TS_LAND          279.992             281.627            -1.635         1.682
U_200             18.078              18.657            -0.580         1.128
VT_850             0.285               0.276             0.009         0.399
Z3_500            56.316              56.642            -0.325         0.330
