DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -103.197            -104.640             1.444         3.069
RESSURF          -75.754             -75.868             0.114        10.713
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.296               3.617            -0.322         0.410
CLDHGH            25.926              25.429             0.497         2.608
CLDLOW            26.813              27.691            -0.878         2.040
CLDMED            17.561              17.045             0.516         1.510
CLDTOT            44.456              44.482            -0.026         2.583
EKE_850           43.855              43.352             0.503         1.831
EP             1.504e-01           1.449e-01         5.505e-03         0.248
FLNS              65.033              64.811             0.223         2.036
FLNSC             88.073              87.937             0.135         2.320
FLNT             210.213             213.810            -3.596         4.262
FLNTC            232.668             236.499            -3.831         4.308
FSDS              89.780              90.940            -1.160         2.286
FSDSC            114.490             116.558            -2.068         2.337
FSNS              72.847              74.160            -1.312         2.350
FSNSC             93.850              95.916            -2.067         2.803
FSNSC_ICE          1.981               1.511             0.470         0.540
FSNSC_LAND        75.774              78.063            -2.289         3.280
FSNT             107.017             109.169            -2.152         2.859
FSNTC            127.042             130.159            -3.117         3.713
ICEAREA           14.547              13.517             1.029         0.093
LHFLX             66.113              68.150            -2.037         6.712
LWCF              22.455              22.690            -0.235         1.572
PRECT              2.062               2.141            -0.080         0.233
PRECT_LAND         1.045               1.108            -0.063         0.166
PRECT_OCEAN        3.408               3.492            -0.084         0.294
PREH2O            11.208              12.180            -0.972         1.242
PREH2O_OCEAN      17.985              19.249            -1.265         1.671
PSI_200           -8.080              -8.263             0.183         0.287
PS               976.849             977.448            -0.599         1.132
PSL             1017.198            1017.676            -0.478         1.058
QFLX               2.212               2.286            -0.074         0.211
SHFLX             17.455              17.067             0.388         5.114
SNOWHLND           6.240               5.588             0.653         4.699
SST               16.061              16.921            -0.860         0.953
STRESS_MAG         0.075               0.076            -0.001         0.012
SWCF             -20.025             -20.989             0.964         1.739
T_850            270.378             271.632            -1.254         1.388
TGCLDLWP         117.251             123.207            -5.956        11.757
TGCLDIWP          23.915              23.544             0.371         1.583
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           273.208             274.711            -1.503         1.822
TS               273.698             275.195            -1.496         1.873
TS_LAND          264.618             266.229            -1.610         1.801
U_200             25.077              25.795            -0.719         1.935
VT_850             0.430               0.404             0.026         0.917
Z3_500            54.983              55.309            -0.326         0.349
