DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            51.483              51.865            -0.383         4.109
RESSURF           53.534              54.958            -1.425         4.581
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.824              -3.667            -0.157         0.650
CLDHGH            25.188              25.091             0.096         1.624
CLDLOW            36.426              37.691            -1.266         2.889
CLDMED            13.688              13.396             0.292         1.204
CLDTOT            51.382              52.335            -0.954         2.795
EKE_850           19.177              19.237            -0.060         1.403
EP            -2.019e-01          -2.547e-01         5.284e-02         0.304
FLNS              60.888              59.401             1.487         2.929
FLNSC             85.515              83.555             1.959         2.811
FLNT             247.119             250.211            -3.092         4.059
FLNTC            272.142             275.267            -3.125         3.401
FSDS             233.002             232.076             0.926         6.457
FSDSC            317.486             319.457            -1.971         2.574
FSNS             196.125             197.163            -1.037         4.909
FSNSC            269.727             273.577            -3.850         7.862
FSNSC_ICE        112.275             130.749           -18.475        26.581
FSNSC_LAND       254.465             256.784            -2.319         4.128
FSNT             298.602             302.076            -3.474         5.889
FSNTC            365.330             371.853            -6.523         9.670
ICEAREA            9.633               8.592             1.041         0.071
LHFLX             54.080              54.804            -0.724         3.684
LWCF              25.023              25.056            -0.033         1.646
PRECT              2.090               2.176            -0.086         0.314
PRECT_LAND         2.394               2.453            -0.059         0.345
PRECT_OCEAN        1.898               2.010            -0.112         0.299
PREH2O            26.328              28.771            -2.443         2.670
PREH2O_OCEAN      30.577              33.280            -2.704         3.027
PSI_200           -4.244              -4.599             0.355         0.380
PS               975.639             975.990            -0.351         0.636
PSL             1013.316            1013.580            -0.265         0.562
QFLX               1.888               1.922            -0.033         0.117
SHFLX             27.623              27.999            -0.376         2.004
SNOWHLND           2.848               2.236             0.612         4.915
SST               19.503              20.470            -0.967         1.047
STRESS_MAG         0.048               0.046             0.002         0.004
SWCF             -66.728             -69.777             3.049         6.453
T_850            286.995             288.438            -1.444         1.489
TGCLDLWP         133.298             136.603            -3.305        11.300
TGCLDIWP          14.419              13.854             0.566         1.216
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           291.795             293.098            -1.303         1.392
TS               292.382             293.680            -1.298         1.407
TS_LAND          295.346             297.020            -1.674         1.732
U_200              9.150               9.610            -0.460         1.172
VT_850             0.133               0.116             0.017         0.649
Z3_500            57.837              58.170            -0.333         0.338
