DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            16.704              17.507            -0.803         3.624
RESSURF           16.787              18.207            -1.420         5.531
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.863               1.412            -0.550         0.659
CLDHGH            25.002              24.297             0.706         2.266
CLDLOW            27.041              27.883            -0.842         2.111
CLDMED            15.580              14.950             0.629         1.276
CLDTOT            43.762              43.784            -0.022         2.254
EKE_850           33.874              33.517             0.357         1.451
EP             1.702e-02           2.388e-02        -6.857e-03         0.199
FLNS              70.126              69.909             0.218         2.287
FLNSC             93.120              92.693             0.427         2.101
FLNT             225.517             229.212            -3.695         4.309
FLNTC            248.795             252.272            -3.476         3.730
FSDS             208.027             209.225            -1.198         4.028
FSDSC            265.347             267.996            -2.649         2.946
FSNS             163.281             165.822            -2.541         4.645
FSNSC            211.767             215.646            -3.879         7.099
FSNSC_ICE         48.638              48.388             0.250         6.483
FSNSC_LAND       190.641             194.350            -3.709         5.355
FSNT             242.221             246.719            -4.498         5.754
FSNTC            285.435             291.496            -6.062         8.344
ICEAREA           14.962              13.983             0.979         0.093
LHFLX             52.077              53.331            -1.254         4.107
LWCF              23.278              23.060             0.219         1.637
PRECT              1.746               1.785            -0.039         0.192
PRECT_LAND         1.485               1.529            -0.044         0.200
PRECT_OCEAN        2.214               2.243            -0.029         0.195
PREH2O            14.327              15.509            -1.183         1.417
PREH2O_OCEAN      19.928              21.305            -1.377         1.757
PSI_200           -7.855              -7.976             0.121         0.187
PS               976.737             977.287            -0.550         0.879
PSL             1015.714            1016.156            -0.442         0.827
QFLX               1.763               1.809            -0.046         0.131
SHFLX             24.291              24.375            -0.084         2.852
SNOWHLND           6.992               6.235             0.757         4.724
SST               15.999              16.860            -0.860         0.963
STRESS_MAG         0.047               0.046             0.001         0.005
SWCF             -43.214             -44.777             1.564         4.134
T_850            276.346             277.657            -1.311         1.379
TGCLDLWP         114.439             116.992            -2.552         9.496
TGCLDIWP          20.983              20.196             0.787         1.423
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.012             282.330            -1.318         1.458
TS               281.539             282.858            -1.320         1.494
TS_LAND          279.760             281.353            -1.593         1.701
U_200             20.610              21.149            -0.539         1.245
VT_850             0.447               0.453            -0.006         0.604
Z3_500            55.923              56.246            -0.323         0.332
