DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -67.637             -68.663             1.026         1.775
RESSURF          -36.744             -36.268            -0.475         5.733
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.315              -1.276            -0.039         0.410
CLDHGH            24.701              24.812            -0.111         1.468
CLDLOW            28.550              29.710            -1.159         2.647
CLDMED            15.276              14.917             0.359         1.042
CLDTOT            44.198              45.089            -0.890         2.413
EKE_850           30.850              30.372             0.478         1.629
EP             1.636e-03          -1.307e-02         1.471e-02         0.250
FLNS              64.859              63.715             1.144         2.153
FLNSC             87.619              86.635             0.984         2.703
FLNT             229.906             232.990            -3.084         3.528
FLNTC            253.514             256.943            -3.430         3.718
FSDS             128.094             128.582            -0.489         2.471
FSDSC            166.550             168.201            -1.651         1.801
FSNS             109.694             110.471            -0.777         2.176
FSNSC            143.451             145.263            -1.812         2.276
FSNSC_ICE          9.718              10.245            -0.526         3.953
FSNSC_LAND       127.498             129.294            -1.796         2.183
FSNT             162.268             164.327            -2.058         2.797
FSNTC            194.265             197.588            -3.323         3.537
ICEAREA            9.667               8.380             1.287         0.113
LHFLX             64.045              65.683            -1.638         4.701
LWCF              23.608              23.954            -0.346         1.538
PRECT              2.181               2.257            -0.076         0.248
PRECT_LAND         1.584               1.672            -0.088         0.209
PRECT_OCEAN        2.944               2.987            -0.043         0.289
PREH2O            18.734              20.497            -1.764         1.994
PREH2O_OCEAN      25.281              27.289            -2.008         2.400
PSI_200           -6.071              -6.412             0.341         0.367
PS               976.787             977.194            -0.408         0.654
PSL             1015.790            1016.091            -0.301         0.574
QFLX               2.183               2.244            -0.061         0.149
SHFLX             17.534              17.341             0.193         2.341
SNOWHLND           3.056               2.466             0.590         4.931
SST               19.204              20.170            -0.966         1.045
STRESS_MAG         0.049               0.048             0.001         0.006
SWCF             -31.996             -33.261             1.265         2.357
T_850            278.648             279.932            -1.284         1.317
TGCLDLWP         127.946             133.286            -5.340        11.761
TGCLDIWP          19.501              18.891             0.611         1.279
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.612             285.109            -1.497         1.706
TS               284.189             285.688            -1.499         1.755
TS_LAND          279.910             281.557            -1.647         1.710
U_200             17.630              18.225            -0.595         1.284
VT_850             0.125               0.124             0.001         0.595
Z3_500            56.489              56.806            -0.317         0.323
