DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -23.989             -20.981            -3.008         7.194
RESSURF           -5.595              -3.497            -2.099         4.943
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.772               0.568             0.204         0.394
CLDHGH            25.404              25.415            -0.011         1.345
CLDLOW            38.833              39.766            -0.933         1.907
CLDMED            16.033              15.580             0.453         1.193
CLDTOT            53.056              53.699            -0.643         1.623
EKE_850           44.894              43.949             0.945         1.842
EP             9.868e-02           1.115e-01        -1.285e-02         0.230
FLNS              60.838              59.144             1.694         2.372
FLNSC             89.720              87.746             1.974         2.865
FLNT             222.916             226.282            -3.367         3.662
FLNTC            247.036             250.677            -3.642         3.707
FSDS             167.131             166.429             0.703         3.815
FSDSC            223.900             225.504            -1.603         2.168
FSNS             136.863             141.881            -5.019         8.528
FSNSC            185.719             194.153            -8.434        13.138
FSNSC_ICE         60.259              60.711            -0.452         6.782
FSNSC_LAND       128.540             129.595            -1.056         1.367
FSNT             198.927             205.302            -6.375         9.103
FSNTC            243.128             253.063            -9.936        13.784
ICEAREA           13.165              10.888             2.276         0.102
LHFLX             69.076              73.825            -4.749         7.857
LWCF              24.120              24.395            -0.275         1.348
PRECT              2.235               2.387            -0.152         0.297
PRECT_LAND         1.603               1.692            -0.089         0.162
PRECT_OCEAN        2.424               2.582            -0.159         0.328
PREH2O            16.199              18.392            -2.193         2.616
PREH2O_OCEAN      18.597              20.868            -2.271         2.876
PSI_200            7.174               7.340            -0.166         0.207
PS               983.435             983.481            -0.046         0.681
PSL             1007.188            1007.156             0.031         0.688
QFLX               2.334               2.499            -0.165         0.262
SHFLX             12.544              12.409             0.135         2.280
SNOWHLND          47.007              46.939             0.068         1.474
SST               14.335              15.824            -1.488         1.548
STRESS_MAG         0.093               0.092             0.001         0.008
SWCF             -44.201             -47.762             3.561         5.450
T_850            275.404             276.977            -1.573         1.595
TGCLDLWP         139.149             144.767            -5.618        11.517
TGCLDIWP          20.840              20.132             0.709         1.525
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           280.431             281.997            -1.566         1.607
TS               280.971             282.555            -1.584         1.647
TS_LAND          265.555             267.261            -1.706         1.722
U_200             25.140              25.612            -0.472         1.193
VT_850            -0.221              -0.207            -0.013         0.559
Z3_500            55.015              55.370            -0.355         0.365
