DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -69.495             -68.414            -1.081         5.618
RESSURF          -43.984             -43.746            -0.238         6.571
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.304              -0.776             0.472         0.649
CLDHGH            24.103              24.126            -0.023         1.766
CLDLOW            38.140              39.143            -1.003         2.264
CLDMED            16.468              16.000             0.468         1.446
CLDTOT            51.545              52.302            -0.757         2.064
EKE_850           43.167              42.017             1.150         2.195
EP             1.325e-01           1.457e-01        -1.320e-02         0.325
FLNS              59.925              57.817             2.108         3.017
FLNSC             87.830              85.394             2.436         3.611
FLNT             223.983             227.647            -3.664         4.169
FLNTC            248.235             252.121            -3.886         4.010
FSDS             122.191             121.623             0.568         3.530
FSDSC            165.251             166.451            -1.199         1.668
FSNS             105.741             109.284            -3.543         6.700
FSNSC            143.505             149.570            -6.065        10.084
FSNSC_ICE         21.160              21.135             0.025         6.289
FSNSC_LAND       102.667             103.386            -0.719         0.945
FSNT             154.488             159.233            -4.745         7.262
FSNTC            189.919             197.375            -7.456        10.805
ICEAREA           10.030               7.714             2.316         0.127
LHFLX             77.440              83.064            -5.625         9.547
LWCF              24.252              24.474            -0.222         1.847
PRECT              2.485               2.667            -0.182         0.404
PRECT_LAND         1.492               1.579            -0.087         0.221
PRECT_OCEAN        2.740               2.936            -0.196         0.444
PREH2O            17.694              20.265            -2.571         3.100
PREH2O_OCEAN      20.028              22.638            -2.609         3.360
PSI_200            7.780               7.755             0.025         0.152
PS               983.402             983.450            -0.048         0.729
PSL             1007.291            1007.270             0.021         0.711
QFLX               2.617               2.813            -0.196         0.317
SHFLX             12.361              12.149             0.212         2.873
SNOWHLND          46.986              46.909             0.077         1.705
SST               15.274              16.833            -1.559         1.633
STRESS_MAG         0.093               0.092             0.001         0.008
SWCF             -35.431             -38.142             2.711         4.480
T_850            276.326             278.009            -1.683         1.714
TGCLDLWP         142.789             148.799            -6.010        14.175
TGCLDIWP          21.192              20.325             0.867         1.853
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.233             282.942            -1.709         1.786
TS               281.827             283.556            -1.728         1.843
TS_LAND          263.230             265.026            -1.796         1.816
U_200             24.355              24.616            -0.261         1.547
VT_850            -0.167              -0.139            -0.028         0.616
Z3_500            55.195              55.577            -0.382         0.390
