DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            15.856              20.914            -5.058        10.104
RESSURF           27.306              31.599            -4.292         7.592
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.744               1.806            -0.062         0.357
CLDHGH            24.968              24.902             0.066         1.951
CLDLOW            38.247              39.202            -0.955         1.931
CLDMED            15.682              15.139             0.543         1.472
CLDTOT            52.342              52.867            -0.524         1.922
EKE_850           42.811              42.197             0.614         2.109
EP             1.153e-01           1.298e-01        -1.458e-02         0.287
FLNS              62.972              61.680             1.292         2.249
FLNSC             91.912              90.367             1.545         2.446
FLNT             221.300             224.453            -3.153         3.700
FLNTC            244.417             247.832            -3.415         3.527
FSDS             207.092             206.465             0.627         5.470
FSDSC            274.069             276.016            -1.947         2.826
FSNS             164.494             171.348            -6.855        11.750
FSNSC            220.987             231.970           -10.983        17.981
FSNSC_ICE         63.495              62.805             0.690         8.392
FSNSC_LAND       148.159             149.182            -1.024         1.687
FSNT             237.156             245.366            -8.211        12.062
FSNTC            287.189             299.644           -12.455        18.283
ICEAREA           16.880              14.551             2.329         0.137
LHFLX             61.140              65.202            -4.062         7.549
LWCF              23.118              23.379            -0.262         1.728
PRECT              1.938               2.064            -0.126         0.305
PRECT_LAND         1.462               1.551            -0.089         0.201
PRECT_OCEAN        2.067               2.195            -0.128         0.334
PREH2O            14.281              16.074            -1.793         2.179
PREH2O_OCEAN      16.570              18.392            -1.821         2.381
PSI_200            7.184               7.477            -0.293         0.324
PS               983.175             983.200            -0.024         0.816
PSL             1006.903            1006.846             0.056         0.857
QFLX               2.054               2.194            -0.141         0.245
SHFLX             13.075              12.867             0.208         3.053
SNOWHLND          47.038              46.984             0.054         1.274
SST               12.724              14.104            -1.380         1.436
STRESS_MAG         0.103               0.102             0.001         0.009
SWCF             -50.033             -54.278             4.245         7.423
T_850            274.178             275.652            -1.474         1.496
TGCLDLWP         132.494             137.627            -5.133        12.709
TGCLDIWP          21.338              20.690             0.648         1.899
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.087             280.524            -1.437         1.482
TS               279.580             281.027            -1.447         1.518
TS_LAND          265.727             267.334            -1.607         1.629
U_200             26.872              27.498            -0.626         1.430
VT_850            -0.250              -0.233            -0.017         0.817
Z3_500            54.729              55.061            -0.332         0.350
