DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            48.545              48.345             0.200         2.723
RESSURF           15.952              15.506             0.447         3.906
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.499              -0.545             0.046         0.513
CLDHGH            36.533              36.294             0.238         1.978
CLDLOW            28.880              29.166            -0.287         1.715
CLDMED            16.956              16.733             0.223         2.051
CLDTOT            53.054              53.206            -0.152         1.739
EKE_850           15.393              15.082             0.311         0.972
EP            -8.747e-02          -8.348e-02        -3.983e-03         0.587
FLNS              53.958              51.348             2.610         3.095
FLNSC             70.750              66.927             3.823         4.129
FLNT             242.314             245.604            -3.289         4.343
FLNTC            281.054             284.280            -3.226         3.366
FSDS             214.228             215.466            -1.238         4.085
FSDSC            289.317             291.342            -2.025         2.134
FSNS             198.803             199.944            -1.142         3.819
FSNSC            269.426             271.351            -1.925         2.042
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       243.436             244.861            -1.424         1.749
FSNT             290.859             293.949            -3.089         4.598
FSNTC            357.731             362.072            -4.340         4.385
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            111.706             115.937            -4.231         6.380
LWCF              38.740              38.676             0.063         2.140
PRECT              3.958               4.100            -0.142         0.575
PRECT_LAND         4.180               4.195            -0.015         0.367
PRECT_OCEAN        3.882               4.065            -0.183         0.627
PREH2O            40.412              44.583            -4.171         4.386
PREH2O_OCEAN      41.960              46.360            -4.400         4.598
PSI_200           -0.706              -0.625            -0.081         0.127
PS               995.793             996.058            -0.264         0.401
PSL             1010.524            1010.760            -0.237         0.361
QFLX               3.871               4.016            -0.146         0.189
SHFLX             17.187              17.154             0.033         1.942
SNOWHLND           0.000               0.000             0.000         0.002
SST               26.722              27.965            -1.243         1.270
STRESS_MAG         0.054               0.052             0.002         0.006
SWCF             -66.872             -68.123             1.251         3.847
T_850            289.669             291.095            -1.426         1.441
TGCLDLWP         135.105             137.140            -2.035        11.894
TGCLDIWP          12.316              11.726             0.590         1.304
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.422             299.751            -1.329         1.352
TS               299.397             300.712            -1.316         1.346
TS_LAND          297.726             299.295            -1.569         1.584
U_200              3.040               3.212            -0.172         1.161
VT_850             0.425               0.259             0.167         0.493
Z3_500            58.446              58.801            -0.354         0.354
