DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            53.014              52.735             0.279         3.911
RESSURF           15.504              14.771             0.732         6.281
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.574              -0.593             0.019         0.679
CLDHGH            38.258              37.921             0.337         2.559
CLDLOW            27.490              27.579            -0.088         2.077
CLDMED            17.553              17.472             0.082         2.553
CLDTOT            53.161              53.127             0.034         2.122
EKE_850           11.575              11.335             0.240         1.242
EP            -1.151e-01          -1.014e-01        -1.374e-02         0.828
FLNS              55.994              53.515             2.479         3.221
FLNSC             72.569              68.766             3.803         4.340
FLNT             240.370             243.640            -3.271         4.875
FLNTC            280.535             283.720            -3.184         3.434
FSDS             217.387             218.647            -1.260         5.636
FSDSC            293.250             295.219            -1.969         2.133
FSNS             201.595             202.770            -1.175         5.305
FSNSC            272.966             274.834            -1.868         2.018
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       246.547             248.077            -1.530         1.939
FSNT             293.383             296.376            -2.992         5.639
FSNTC            361.447             365.679            -4.232         4.277
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            113.656             118.152            -4.496         8.353
LWCF              40.166              40.079             0.087         2.712
PRECT              4.057               4.197            -0.140         0.802
PRECT_LAND         4.394               4.411            -0.017         0.498
PRECT_OCEAN        3.944               4.123            -0.179         0.877
PREH2O            39.004              43.111            -4.107         4.533
PREH2O_OCEAN      40.944              45.382            -4.438         4.817
PSI_200            1.453               1.518            -0.065         0.162
PS               994.798             995.057            -0.259         0.430
PSL             1009.542            1009.776            -0.234         0.394
QFLX               3.942               4.095            -0.154         0.240
SHFLX             16.442              16.333             0.109         2.376
SNOWHLND           0.000               0.000             0.000         0.004
SST               26.652              27.906            -1.254         1.283
STRESS_MAG         0.059               0.057             0.002         0.007
SWCF             -68.064             -69.304             1.240         5.091
T_850            289.231             290.632            -1.401         1.418
TGCLDLWP         137.905             140.391            -2.486        16.116
TGCLDIWP          12.858              12.249             0.609         1.714
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.097             299.416            -1.319         1.342
TS               299.046             300.338            -1.293         1.321
TS_LAND          296.459             297.893            -1.433         1.453
U_200              4.305               3.963             0.342         1.455
VT_850            -2.135              -2.250             0.115         0.617
Z3_500            58.293              58.650            -0.357         0.357
