DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            29.477              29.169             0.308         3.648
RESSURF           -2.234              -2.870             0.636         6.390
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.489              -0.503             0.014         0.895
CLDHGH            34.787              34.541             0.246         2.722
CLDLOW            31.148              31.680            -0.532         2.472
CLDMED            16.895              16.422             0.473         2.820
CLDTOT            53.558              53.826            -0.268         2.594
EKE_850           10.810              10.678             0.132         1.021
EP             7.491e-02           9.861e-02        -2.370e-02         0.906
FLNS              52.393              49.626             2.766         3.404
FLNSC             69.520              65.609             3.911         4.259
FLNT             243.464             247.022            -3.558         5.227
FLNTC            281.035             284.371            -3.336         3.554
FSDS             197.513             198.733            -1.220         5.438
FSDSC            273.263             275.112            -1.850         2.161
FSNS             183.127             184.229            -1.102         5.061
FSNSC            254.129             255.875            -1.747         2.056
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       229.654             230.772            -1.117         1.990
FSNT             272.941             276.192            -3.251         5.764
FSNTC            340.100             344.406            -4.307         4.361
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            115.950             120.519            -4.569         8.626
LWCF              37.571              37.349             0.223         2.995
PRECT              3.921               4.052            -0.131         0.863
PRECT_LAND         3.448               3.406             0.042         0.479
PRECT_OCEAN        4.062               4.249            -0.187         0.952
PREH2O            40.957              45.175            -4.218         4.477
PREH2O_OCEAN      42.475              46.873            -4.399         4.656
PSI_200           -3.036              -2.964            -0.072         0.148
PS               997.169             997.450            -0.281         0.416
PSL             1011.934            1012.185            -0.251         0.375
QFLX               3.996               4.150            -0.155         0.238
SHFLX             17.018              16.953             0.065         2.309
SNOWHLND           0.000               0.000             0.000         0.000
SST               26.540              27.779            -1.239         1.272
STRESS_MAG         0.071               0.070             0.001         0.007
SWCF             -67.159             -68.215             1.056         5.104
T_850            289.505             290.976            -1.471         1.493
TGCLDLWP         144.765             146.070            -1.306        17.632
TGCLDIWP          12.115              11.491             0.624         1.746
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.271             299.623            -1.352         1.386
TS               299.175             300.513            -1.338         1.382
TS_LAND          297.355             299.034            -1.679         1.708
U_200              0.595               1.378            -0.783         1.486
VT_850             3.096               2.866             0.230         0.692
Z3_500            58.581              58.941            -0.360         0.361
