DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            56.130              56.030             0.100         3.685
RESSURF           23.704              23.686             0.017         5.680
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.518              -0.611             0.092         0.827
CLDHGH            37.697              37.539             0.159         2.907
CLDLOW            27.294              27.614            -0.320         2.199
CLDMED            16.417              16.208             0.209         2.952
CLDTOT            52.506              52.758            -0.252         2.653
EKE_850           10.757              10.354             0.404         1.270
EP            -9.440e-02          -1.088e-01         1.438e-02         0.936
FLNS              54.207              51.610             2.597         3.349
FLNSC             70.452              66.733             3.719         4.198
FLNT             242.116             245.175            -3.059         5.343
FLNTC            281.699             284.831            -3.132         3.459
FSDS             221.215             222.413            -1.198         6.141
FSDSC            292.839             294.866            -2.027         2.184
FSNS             205.199             206.290            -1.091         5.797
FSNSC            272.689             274.614            -1.926         2.082
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.325             246.868            -1.543         1.838
FSNT             298.246             301.205            -2.959         6.088
FSNTC            362.137             366.358            -4.221         4.277
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            109.934             113.594            -3.660         8.129
LWCF              39.583              39.656            -0.073         3.293
PRECT              3.905               4.048            -0.143         0.888
PRECT_LAND         4.267               4.287            -0.020         0.523
PRECT_OCEAN        3.787               3.968            -0.181         0.976
PREH2O            41.138              45.346            -4.208         4.578
PREH2O_OCEAN      42.776              47.239            -4.463         4.812
PSI_200            0.013               0.153            -0.140         0.198
PS               995.487             995.676            -0.189         0.361
PSL             1010.194            1010.353            -0.159         0.323
QFLX               3.810               3.939            -0.128         0.214
SHFLX             17.354              17.399            -0.046         2.309
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.189              28.424            -1.235         1.271
STRESS_MAG         0.053               0.050             0.002         0.008
SWCF             -63.891             -65.153             1.262         5.664
T_850            290.193             291.624            -1.431         1.449
TGCLDLWP         123.238             124.826            -1.588        17.334
TGCLDIWP          12.209              11.652             0.557         1.807
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.892             300.212            -1.320         1.351
TS               299.941             301.257            -1.316         1.357
TS_LAND          298.556             300.155            -1.600         1.624
U_200              5.765               5.440             0.325         1.502
VT_850             0.328               0.184             0.144         0.522
Z3_500            58.474              58.821            -0.347         0.347
