DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            55.712              55.620             0.092         3.009
RESSURF           26.893              26.522             0.371         5.608
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.410              -0.469             0.059         0.497
CLDHGH            35.414              35.216             0.199         2.473
CLDLOW            29.568              29.770            -0.202         1.732
CLDMED            16.982              16.851             0.131         2.007
CLDTOT            53.005              53.124            -0.119         2.026
EKE_850           11.339              11.135             0.203         1.076
EP            -2.185e-01          -2.256e-01         7.167e-03         0.699
FLNS              53.269              50.687             2.582         3.060
FLNSC             70.498              66.654             3.843         4.077
FLNT             243.271             246.529            -3.257         4.504
FLNTC            280.938             284.187            -3.249         3.395
FSDS             220.907             222.200            -1.293         4.171
FSDSC            298.086             300.358            -2.272         2.428
FSNS             205.391             206.610            -1.219         3.886
FSNSC            278.079             280.258            -2.178         2.334
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       252.373             253.903            -1.530         2.039
FSNT             298.984             302.149            -3.165         4.652
FSNTC            367.419             372.028            -4.608         4.656
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            107.305             111.479            -4.174         7.443
LWCF              37.667              37.658             0.008         2.582
PRECT              3.955               4.107            -0.152         0.658
PRECT_LAND         4.621               4.685            -0.064         0.498
PRECT_OCEAN        3.738               3.920            -0.182         0.700
PREH2O            40.520              44.653            -4.133         4.296
PREH2O_OCEAN      41.622              45.903            -4.281         4.438
PSI_200           -1.216              -1.169            -0.047         0.123
PS               995.695             996.019            -0.325         0.442
PSL             1010.400            1010.699            -0.299         0.405
QFLX               3.736               3.881            -0.145         0.210
SHFLX             17.924              17.922             0.002         2.120
SNOWHLND           0.000               0.000             0.000         0.001
SST               26.501              27.743            -1.243         1.272
STRESS_MAG         0.055               0.052             0.002         0.007
SWCF             -68.436             -69.879             1.443         3.903
T_850            289.744             291.140            -1.396         1.414
TGCLDLWP         134.613             137.385            -2.772        11.076
TGCLDIWP          12.093              11.525             0.568         1.413
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.416             299.738            -1.322         1.346
TS               299.414             300.727            -1.314         1.347
TS_LAND          298.507             300.068            -1.561         1.584
U_200              1.505               2.095            -0.590         1.229
VT_850             0.341               0.170             0.171         0.545
Z3_500            58.434              58.785            -0.352         0.352
